ticker,selected,weight,expected_return
SPY,0,-0.0,1.7425162137846897e-05
QQQ,0,-0.0,2.99870737510763e-05
IWM,0,-0.0,3.0318150786991007e-05
TLT,0,-0.0,1.534278210262038e-05
LQD,0,-0.0,4.5398522831256075e-06
GLD,1,-0.0,1.842824829602893e-05
SLV,1,0.020780163766834694,7.49789988821306e-05
USO,1,0.20206074810414656,6.08293349569608e-05
AAPL,1,-0.0,4.359684431450351e-05
MSFT,1,-0.0,3.7945261138550376e-05
NVDA,1,0.25651574220646906,0.00015875464481594485
TSLA,1,0.21294270347875074,0.0002109298723281896
ARKK,1,0.1641955675630751,0.00012757544648553008
COIN,1,0.14350507488072403,0.0004342082059658414
XLE,1,-0.0,4.1505083623031165e-05
CAT,0,-0.0,4.5229764964306e-05
LMT,0,-0.0,2.8563301121442957e-05
XLF,0,-0.0,2.1029843600201333e-05
JPM,0,-0.0,3.52256800927839e-05
VNQ,0,-0.0,2.1185613062501387e-05
