N,k,S,alpha,gamma,solver,status,objective_value,portfolio_mu_daily,portfolio_mu_annualized,portfolio_cvar,var_estimate,solve_time_sec,selected_assets,num_variables,num_constraints
5,2,1232,0.95,0.005,GLPK_MI,optimal,3.0318150786991007e-05,3.0318150786991007e-05,0.0076401739983217335,0.005,0.004981792557726741,0.06815314292907715,"SPY, IWM",1243,2477
5,3,1232,0.95,0.005,GLPK_MI,optimal,3.0318150786991007e-05,3.0318150786991007e-05,0.0076401739983217335,0.005,0.004981792557726741,0.01567983627319336,"SPY, QQQ, IWM",1243,2477
5,5,1232,0.95,0.005,GLPK_MI,optimal,3.0318150786991007e-05,3.0318150786991007e-05,0.0076401739983217335,0.005,0.004981792557726741,0.015299320220947266,"SPY, QQQ, IWM, TLT, LQD",1243,2477
10,2,1232,0.95,0.005,GLPK_MI,optimal,7.497899888213055e-05,7.497899888213055e-05,0.018894707718296898,0.004999999999999999,0.0024670804463439336,0.025814056396484375,"SLV, MSFT",1253,2487
10,3,1232,0.95,0.005,GLPK_MI,optimal,7.497899888213061e-05,7.497899888213061e-05,0.018894707718296915,0.005000000000000001,0.0024670804463439236,0.02605581283569336,"SPY, SLV, MSFT",1253,2487
10,5,1232,0.95,0.005,GLPK_MI,optimal,7.497899888213046e-05,7.497899888213046e-05,0.018894707718296877,0.005000000000000001,0.002467080446343926,0.025702238082885742,"SPY, QQQ, SLV, USO, MSFT",1253,2487
10,7,1232,0.95,0.005,GLPK_MI,optimal,7.497899888213053e-05,7.497899888213053e-05,0.018894707718296894,0.004999999999999999,0.0024670804463439184,0.025418996810913086,"SPY, QQQ, IWM, LQD, SLV, USO, AAPL",1253,2487
10,10,1232,0.95,0.005,GLPK_MI,optimal,7.497899888212964e-05,7.497899888212964e-05,0.01889470771829667,0.005,0.002467080446343926,0.024398326873779297,"SPY, QQQ, IWM, TLT, LQD, GLD, SLV, USO, AAPL, MSFT",1253,2487
15,2,1232,0.95,0.005,GLPK_MI,optimal,0.0001557515815368629,0.0001557515815368629,0.03924939854728945,0.004999999999999996,0.0024541239937565674,0.21824049949645996,"TSLA, ARKK",1263,2497
15,3,1232,0.95,0.005,GLPK_MI,optimal,0.00016628786797430182,0.00016628786797430182,0.04190454272952406,0.005000000000000001,0.0026223787164511435,0.19341182708740234,"TSLA, ARKK, COIN",1263,2497
15,5,1232,0.95,0.005,GLPK_MI,optimal,0.00018224139250210886,0.00018224139250210886,0.045924830910531435,0.005000000000000001,0.002378923091917969,0.6024734973907471,"USO, NVDA, TSLA, ARKK, COIN",1263,2497
15,7,1232,0.95,0.005,GLPK_MI,optimal,0.00018274674355936137,0.00018274674355936137,0.04605217937695907,0.005000000000000001,0.002310905913207,0.19078373908996582,"SLV, USO, MSFT, NVDA, TSLA, ARKK, COIN",1263,2497
15,10,1232,0.95,0.005,GLPK_MI,optimal,0.00018274674355936137,0.00018274674355936137,0.04605217937695907,0.005000000000000001,0.002310905913207,0.08840274810791016,"TLT, GLD, SLV, USO, AAPL, MSFT, NVDA, TSLA, ARKK, COIN",1263,2497
15,12,1232,0.95,0.005,GLPK_MI,optimal,0.00018274674355936137,0.00018274674355936137,0.04605217937695907,0.005000000000000001,0.002310905913207,0.23517870903015137,"QQQ, IWM, TLT, GLD, SLV, USO, AAPL, MSFT, NVDA, TSLA, ARKK, COIN",1263,2497
20,2,1232,0.95,0.005,GLPK_MI,optimal,0.00015575158153686292,0.00015575158153686292,0.039249398547289455,0.0049999999999999975,0.002454123993756568,0.4156014919281006,"TSLA, ARKK",1273,2507
20,3,1232,0.95,0.005,GLPK_MI,optimal,0.00016628786797430182,0.00016628786797430182,0.04190454272952406,0.005000000000000001,0.002622378716451141,0.5541939735412598,"TSLA, ARKK, COIN",1273,2507
20,5,1232,0.95,0.005,GLPK_MI,optimal,0.00018224139250210886,0.00018224139250210886,0.045924830910531435,0.005000000000000001,0.0023789230919179683,2.610909938812256,"USO, NVDA, TSLA, ARKK, COIN",1273,2507
20,7,1232,0.95,0.005,GLPK_MI,optimal,0.00018274674355936134,0.00018274674355936134,0.04605217937695906,0.005000000000000001,0.002310905913207,0.42552828788757324,"GLD, SLV, USO, NVDA, TSLA, ARKK, COIN",1273,2507
20,10,1232,0.95,0.005,GLPK_MI,optimal,0.00018274674355936134,0.00018274674355936134,0.04605217937695906,0.005000000000000001,0.002310905913207,0.3912324905395508,"GLD, SLV, USO, AAPL, MSFT, NVDA, TSLA, ARKK, COIN, XLE",1273,2507
